,song_and_artist,ranking
0,"



	
	
		
					Bad Habit		
	


	
	Steve Lacy











	
	1




	
	1




	
	14













	
	1




	
	1




	
	14




","

	
	1



"
1,"



	
	
		
					Unholy		
	


	
	Sam Smith & Kim Petras











	
	3




	
	2




	
	2













	
	3




	
	2




	
	2




","

	
	2



"
2,"



	
	
		
					As It Was		
	


	
	Harry Styles









	
	2




	
	1




	
	27











	
	2




	
	1




	
	27




","

	
	3



"
3,"



	
	
		
					I Like You (A Happier Song)		
	


	
	Post Malone Featuring Doja Cat











	
	4




	
	3




	
	18













	
	4




	
	3




	
	18




","

	
	4



"
4,"



	
	
		
					Sunroof		
	


	
	Nicky Youre & dazy









	
	5




	
	4




	
	19











	
	5




	
	4




	
	19




","

	
	5



"
5,"



	
	
		
					I Ain't Worried		
	


	
	OneRepublic











	
	7




	
	6




	
	17













	
	7




	
	6




	
	17




","

	
	6



"
6,"



	
	
		
					You Proof		
	


	
	Morgan Wallen











	
	8




	
	6




	
	21













	
	8




	
	6




	
	21




","

	
	7



"
7,"



	
	
		
					Super Freaky Girl		
	


	
	Nicki Minaj









	
	6




	
	1




	
	8











	
	6




	
	1




	
	8




","

	
	8



"
8,"



	
	
		
					The Kind Of Love We Make		
	


	
	Luke Combs









	
	11




	
	8




	
	16











	
	11




	
	8




	
	16




","

	
	9



"
9,"



	
	
		
					About Damn Time		
	


	
	Lizzo









	
	10




	
	1




	
	25











	
	10




	
	1




	
	25




","

	
	10



"
10,"



	
	
		
					Vegas		
	


	
	Doja Cat











	
	14




	
	11




	
	18













	
	14




	
	11




	
	18




","

	
	11



"
11,"



	
	
		
					Wait For U		
	


	
	Future Featuring Drake & Tems









	
	12




	
	1




	
	23











	
	12




	
	1




	
	23




","

	
	12



"
12,"



	
	
		
					Titi Me Pregunto		
	


	
	Bad Bunny











	
	16




	
	5




	
	22













	
	16




	
	5




	
	22




","

	
	13



"
13,"



	
	
		
					Late Night Talking		
	


	
	Harry Styles









	
	13




	
	3




	
	20











	
	13




	
	3




	
	20




","

	
	14



"
14,"



	
	
		
					Me Porto Bonito		
	


	
	Bad Bunny & Chencho Corleone









	
	15




	
	6




	
	22











	
	15




	
	6




	
	22




","

	
	15



"
15,"



	
	
		
					Something In The Orange		
	


	
	Zach Bryan











	
	23




	
	16




	
	24













	
	23




	
	16




	
	24




","

	
	16



"
16,"



	
	
		
					Wasted On You		
	


	
	Morgan Wallen











	
	17




	
	9




	
	47













	
	17




	
	9




	
	47




","

	
	17



"
17,"



	
	
		
					I'm Good (Blue)		
	


	
	David Guetta & Bebe Rexha











	
	21




	
	18




	
	6













	
	21




	
	18




	
	6




","

	
	18



"
18,"



	
	
		
					She Had Me At Heads Carolina		
	


	
	Cole Swindell









	
	18




	
	16




	
	19











	
	18




	
	16




	
	19




","

	
	19



"
19,"



	
	
		
					Heat Waves		
	


	
	Glass Animals









	
	19




	
	1




	
	90











	
	19




	
	1




	
	90




","

	
	20



"
20,"



	
	
		
					Jimmy Cooks		
	


	
	Drake Featuring 21 Savage









	
	20




	
	1




	
	16











	
	20




	
	1




	
	16




","

	
	21



"
21,"



	
	
		
					Tomorrow 2		
	


	
	GloRilla & Cardi B









	
	9




	
	9




	
	2











	
	9




	
	9




	
	2




","

	
	22



"
22,"



	
	
		
					Under The Influence		
	


	
	Chris Brown











	
	25




	
	23




	
	4













	
	25




	
	23




	
	4




","

	
	23



"
23,"



	
	
		
					5 Foot 9		
	


	
	Tyler Hubbard











	
	22




	
	22




	
	17













	
	22




	
	22




	
	17




","

	
	24



"
24,"



	
	
		
					First Class		
	


	
	Jack Harlow









	
	24




	
	1




	
	26











	
	24




	
	1




	
	26




","

	
	25



"
25,"



	
	
		
					Hold Me Closer		
	


	
	Elton John & Britney Spears









	
	27




	
	6




	
	6











	
	27




	
	6




	
	6




","

	
	26



"
26,"



	
	
		
					Rock And A Hard Place		
	


	
	Bailey Zimmerman











	
	29




	
	24




	
	17













	
	29




	
	24




	
	17




","

	
	27



"
27,"



	
	
		
					Glimpse Of Us		
	


	
	Joji









	
	28




	
	8




	
	17











	
	28




	
	8




	
	17




","

	
	28



"
28,"



	
	
		
					Fall In Love		
	


	
	Bailey Zimmerman











	
	30




	
	29




	
	23













	
	30




	
	29




	
	23




","

	
	29



"
29,"



	
	
		
					Unstoppable		
	


	
	Sia











	
	33




	
	30




	
	14













	
	33




	
	30




	
	14




","

	
	30



"
30,"



	
	
		
					Running Up That Hill (A Deal With God)		
	


	
	Kate Bush









	
	26




	
	3




	
	39











	
	26




	
	3




	
	39




","

	
	31



"
31,"



	
	
		
					Star Walkin' (League Of Legends Worlds Anthem)		
	


	
	Lil Nas X









	
	32




	
	32




	
	2











	
	32




	
	32




	
	2




","

	
	32



"
32,"



	
	
		
					Romantic Homicide		
	


	
	d4vd











	
	35




	
	33




	
	5













	
	35




	
	33




	
	5




","

	
	33



"
33,"



	
	
		
					Betty (Get Money)		
	


	
	Yung Gravy









	
	34




	
	30




	
	13











	
	34




	
	30




	
	13




","

	
	34



"
34,"



	
	
		
					Moscow Mule		
	


	
	Bad Bunny









	
	36




	
	4




	
	22











	
	36




	
	4




	
	22




","

	
	35



"
35,"



	
	
		
					Cuff It		
	


	
	Beyonce











	
	54




	
	13




	
	8













	
	54




	
	13




	
	8




","

	
	36



"
36,"



	
	
		
					Die For You		
	


	
	The Weeknd











	
	41




	
	37




	
	10













	
	41




	
	37




	
	10




","

	
	37



"
37,"



	
	
		
					Victoria’s Secret		
	


	
	Jax











	
	52




	
	38




	
	10













	
	52




	
	38




	
	10




","

	
	38



"
38,"



	
	
		
					Thank God		
	


	
	Kane Brown With Katelyn Brown











	
	38




	
	22




	
	4













	
	38




	
	22




	
	4




","

	
	39



"
39,"



	
	
		
					Son Of A Sinner		
	


	
	Jelly Roll









	
	31




	
	31




	
	14











	
	31




	
	31




	
	14




","

	
	40



"
40,"



	
	
		
					Big Energy		
	


	
	Latto









	
	37




	
	3




	
	50











	
	37




	
	3




	
	50




","

	
	41



"
41,"



	
	
		
					What My World Spins Around		
	


	
	Jordan Davis











	
	46




	
	42




	
	8













	
	46




	
	42




	
	8




","

	
	42



"
42,"



	
	
		
					In A Minute		
	


	
	Lil Baby









	
	40




	
	14




	
	26











	
	40




	
	14




	
	26




","

	
	43



"
43,"



	
	
		
					Last Last		
	


	
	Burna Boy











	
	49




	
	44




	
	13













	
	49




	
	44




	
	13




","

	
	44



"
44,"



	
	
		
					Left And Right		
	


	
	Charlie Puth Featuring Jung Kook









	
	43




	
	22




	
	15











	
	43




	
	22




	
	15




","

	
	45



"
45,"



	
	
		
					Free Mind		
	


	
	Tems











	
	50




	
	46




	
	12













	
	50




	
	46




	
	12




","

	
	46



"
46,"



	
	
		
					Until I Found You		
	


	
	Stephen Sanchez











	
	57




	
	47




	
	14













	
	57




	
	47




	
	14




","

	
	47



"
47,"



	
	
		
					Staying Alive		
	


	
	DJ Khaled Featuring Drake & Lil Baby









	
	42




	
	5




	
	9











	
	42




	
	5




	
	9




","

	
	48



"
48,"



	
	
		
					Efecto		
	


	
	Bad Bunny









	
	48




	
	34




	
	22











	
	48




	
	34




	
	22




","

	
	49



"
49,"



	
	
		
					Break My Soul		
	


	
	Beyonce









	
	39




	
	1




	
	16











	
	39




	
	1




	
	16




","

	
	50



"
